0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:21 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:25 +0530] "GET /PROJECT_4/ctl/CourseListCtl HTTP/1.1" 200 3751
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:25 +0530] "GET /PROJECT_4/ctl/CourseListCtl HTTP/1.1" 200 3751
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:25 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:25 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:28 +0530] "GET /PROJECT_4/ctl/StudentListCtl HTTP/1.1" 200 11525
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:28 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:28 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:32 +0530] "GET /PROJECT_4/ctl/TimeTableCtl HTTP/1.1" 200 7347
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:34 +0530] "GET /PROJECT_4/ctl/TimeTableListCtl HTTP/1.1" 200 4446
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:34 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:34 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:39 +0530] "GET /PROJECT_4/ctl/FacultyListCtl HTTP/1.1" 200 3722
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:39 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:39 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:45 +0530] "GET /PROJECT_4/ctl/TimeTableListCtl HTTP/1.1" 200 4446
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:45 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:45 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:48 +0530] "GET /PROJECT_4/ctl/TimeTableCtl HTTP/1.1" 200 7347
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:07:58 +0530] "GET /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 200 6217
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:08:00 +0530] "GET /PROJECT_4/ctl/MarksheetListCtl HTTP/1.1" 200 6676
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:08:00 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:08:00 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:08:03 +0530] "GET /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 200 6217
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:08:38 +0530] "POST /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 200 6313
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:10:25 +0530] "POST /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 200 6329
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:10:31 +0530] "POST /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 302 -
